run_id,mutation_id,ground_truth_module,module,score,rank,detected,ranking_available,ranking_protocol
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/modules/ekf2,6.851304835267897e-05,36,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/drivers/distance_sensor,3.582592729190273e-05,37,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/drivers/px4flow,3.582592729190273e-05,38,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/platforms/posix/drivers/df_bebop_rangefinder_wrapper,3.582592729190273e-05,39,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/platforms/posix/drivers/df_isl29501_wrapper,3.582592729190273e-05,40,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/platforms/posix/drivers/df_trone_wrapper,3.582592729190273e-05,41,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/drivers/batt_smbus,1.2042220214367204e-06,42,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/modules/syslink,1.2042220214367204e-06,43,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/drivers/blinkm,9.76335996501831e-07,44,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/modules/gpio_led,9.76335996501831e-07,45,False,True,onset_conditioned
inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,src/modules/position_estimator_inav,src/modules/fw_att_control,3.3661134633760113e-07,46,False,True,onset_conditioned
