gate,exposure,run_id,source_log,condition,mutation_id,any_alarm,detected,pre_onset_alarm,first_alarm_s,detection_delay_s,frozen_rank,top1,top3,top5,mrr
within_flight,post30_common,commander_nav_state_override__2018-12-25__08_44_40__baseline,2018-12-25__08_44_40,normal,commander_nav_state_override,False,False,False,,,,0,0,0,0.0
within_flight,post30_common,ekf2_innovation_bias__2018-12-19__07_49_17__baseline,2018-12-19__07_49_17,normal,ekf2_innovation_bias,False,False,False,,,,0,0,0,0.0
within_flight,post30_common,ekf2_innovation_bias__2018-12-20__07_47_50__baseline,2018-12-20__07_47_50,normal,ekf2_innovation_bias,False,False,False,,,,0,0,0,0.0
within_flight,post30_common,ekf2_innovation_bias__2018-12-25__08_44_40__baseline,2018-12-25__08_44_40,normal,ekf2_innovation_bias,True,True,False,139.220496,109.220496,,0,0,0,0.0
within_flight,post30_common,inav_local_z_freeze__2018-12-19__07_49_17__baseline,2018-12-19__07_49_17,normal,inav_local_z_freeze,False,False,False,,,,0,0,0,0.0
within_flight,post30_common,inav_local_z_freeze__2018-12-20__07_47_50__baseline,2018-12-20__07_47_50,normal,inav_local_z_freeze,False,False,False,,,,0,0,0,0.0
within_flight,post30_common,inav_local_z_freeze__2018-12-25__08_44_40__baseline,2018-12-25__08_44_40,normal,inav_local_z_freeze,False,False,False,,,,0,0,0,0.0
within_flight,post30_common,land_detector_state_inversion__2018-12-19__07_49_17__baseline,2018-12-19__07_49_17,normal,land_detector_state_inversion,False,False,False,,,,0,0,0,0.0
within_flight,post30_common,land_detector_state_inversion__2018-12-20__07_47_50__baseline,2018-12-20__07_47_50,normal,land_detector_state_inversion,True,True,False,35.218195,5.2181950000000015,,0,0,0,0.0
within_flight,post30_common,land_detector_state_inversion__2018-12-25__08_44_40__baseline,2018-12-25__08_44_40,normal,land_detector_state_inversion,False,False,False,,,,0,0,0,0.0
